titleId,primaryTitle,startYear,genres,numVotes,averageRating
tt0064994,Larks on a String,1990,"comedy , romance , drama ",1339,7.6
tt0075143,The Message,1989,"biography , drama , adventure ",3842,8.8
tt0076276,Who's Singin' Over There?,1980,"comedy , drama , adventure ",11724,8.9
tt0078813,The Miser,1980,comedy ,3337,6.7
tt0078936,White Cannibal Queen,1980,horror ,656,3.2
tt0079104,Emanuelle's Daughter,1980,"crime , drama ",500,4.6
tt0079193,The Garage,1980,"comedy , drama ",2597,8.2
tt0079285,Saturn 3,1980,"horror , sci-fi , adventure ",7075,5.1
tt0079509,Dragon Attack,1983,"action , comedy , adventure ",1356,4.9
tt0079579,Moscow Does Not Believe in Tears,1980,"comedy , romance , drama ",9391,8.2
tt0079718,Piedone d'Egitto,1980,"action , crime , comedy ",2441,6.2
tt0079820,The King and the Mockingbird,1980,"animation , fantasy , family ",3728,8.0
tt0079839,Fun Is Beautiful,1980,comedy ,1635,7.3
tt0079891,The Shaolin Temple,1982,"action , drama ",3492,7.1
tt0079985,The Secret Life of Nikola Tesla,1980,"drama , biography ",1056,7.5
tt0080031,Tom Horn,1980,"crime , romance , drama ",4030,6.9
tt0080310,Breaker Morant,1980,"history , drama , war ",10912,7.9
tt0080319,9 to 5,1980,comedy ,23138,6.7
tt0080339,Airplane!,1980,comedy ,181679,7.8
tt0080362,The Other Hell,1981,"thriller , horror ",557,4.8
tt0080365,American Gigolo,1980,"mystery , crime , drama ",18239,6.2
tt0080377,Any Which Way You Can,1980,"action , comedy ",14953,6.1
tt0080388,Atlantic City,1980,"crime , romance , drama ",12673,7.4
tt0080415,The Lady Banker,1980,"comedy , drama ",580,6.4
tt0080419,Children's Island,1980,"romance , drama ",685,6.7
tt0080421,Battle Beyond the Stars,1980,"action , sci-fi , adventure ",6368,5.5
tt0080436,Battle Creek Brawl,1980,"action , crime , comedy ",4095,5.8
tt0080437,The Big Red One,1980,"drama , war ",16883,7.2
tt0080439,The Taming of the Scoundrel,1980,comedy ,5412,7.7
tt0080440,The Black Cat,1981,horror ,2646,5.9
tt0080453,The Blue Lagoon,1980,"romance , drama , adventure ",56068,5.7
tt0080465,Borderline,1980,"action , drama ",1321,6.1
tt0080474,Brubaker,1980,"crime , drama ",13619,7.1
tt0080485,Cabo Blanco,1980,"action , crime , adventure ",733,5.8
tt0080486,Devil Hunter,1980,horror ,942,3.3
tt0080487,Caddyshack,1980,"comedy , sport ",92042,7.3
tt0080489,La Cage aux Folles II,1980,comedy ,1657,5.7
tt0080492,Can't Stop the Music,1980,"comedy , musical , biography ",3233,4.5
tt0080503,House on the Edge of the Park,1980,"thriller , horror ",4240,5.9
tt0080513,The Chain Reaction,1980,"action , sci-fi , drama ",615,5.5
tt0080539,City of Women,1980,"comedy , drama ",5142,7.0
tt0080565,The Umbrella Coup,1980,"comedy , crime , adventure ",1774,6.7
tt0080569,Cruising,1980,"mystery , crime , drama ",15496,6.4
tt0080603,Death Ship,1980,"mystery , horror , adventure ",2927,4.8
tt0080605,Defiance,1980,"action , crime , drama ",802,6.2
tt0080610,The Last Metro,1980,"romance , drama , war ",10484,7.4
tt0080634,Divine Madness,1980,"comedy , documentary , music ",669,7.0
tt0080636,We're Going to Eat You,1980,"action , comedy , adventure ",665,6.6
tt0080653,Dostana,1980,"action , crime , drama ",769,6.8
tt0080678,The Elephant Man,1980,"drama , biography ",190455,8.2
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"action , fantasy , adventure ",992502,8.8
tt0080717,My Young Auntie,1981,"action , comedy ",553,7.0
tt0080719,Fantozzi Against the Wind,1980,comedy ,2140,7.1
tt0080728,The Aviator's Wife,1981,"comedy , romance , drama ",2376,7.7
tt0080736,The Final Countdown,1980,"action , sci-fi ",18250,6.7
tt0080738,The First Deadly Sin,1980,thriller ,1402,5.9
tt0080749,The Fog,1980,"thriller , horror ",53282,6.8
tt0080754,The Formula,1980,"crime , thriller ",2137,5.6
tt0080764,Macabre,1980,horror ,1721,6.0
tt0080768,Day of Resurrection,1980,"horror , drama , adventure ",1738,6.4
tt0080798,Gloria,1980,"crime , thriller , drama ",6912,7.1
tt0080801,The Gods Must Be Crazy,1980,comedy ,47429,7.3
tt0080827,Spooky Encounters,1980,"action , comedy , fantasy ",1606,7.1
tt0080846,Hawk the Slayer,1980,"fantasy , adventure ",2543,5.5
tt0080856,Heerak Rajar Deshe,1980,"comedy , thriller , drama ",1571,8.8
tt0080904,Humanoids from the Deep,1980,"horror , sci-fi ",5862,5.7
tt0080905,Fists of the White Lotus,1980,"action , drama ",1012,7.4
tt0080907,The Hunter,1980,"action , comedy , biography ",4036,6.4
tt0080917,In God We Trust (or Gimme That Prime Time Religion),1980,comedy ,862,5.5
tt0080929,Inspector Blunder,1980,comedy ,1475,6.2
tt0080931,Nightmare City,1980,"thriller , horror , sci-fi ",4587,5.7
tt0080979,Kagemusha,1980,"history , drama , war ",27254,8.0
tt0081027,Zombie Lake,1981,horror ,2686,3.0
tt0081059,Lion of the Desert,1980,"history , drama , biography ",11706,8.4
tt0081081,Contraband,1980,"action , crime , drama ",1358,6.5
tt0081104,All That Jack's,1980,"comedy , drama ",781,8.1
tt0081109,The Man Who Saw Tomorrow,1981,"history , drama , biography ",906,6.1
tt0081112,Eaten Alive!,1980,"horror , adventure ",2939,5.3
tt0081148,Alexander the Great,1980,"history , drama ",633,7.5
tt0081163,The Mirror Crack'd,1980,"mystery , crime , thriller ",5655,6.2
tt0081182,Death Watch,1980,"sci-fi , drama ",2134,6.8
tt0081203,Murder by Phone,1982,"mystery , horror , sci-fi ",516,5.5
tt0081207,My Bodyguard,1980,"comedy , family , drama ",7698,7.1
tt0081230,Night of the Juggler,1980,"action , crime , drama ",551,6.4
tt0081249,The Nude Bomb,1980,"comedy , mystery , crime ",2696,5.0
tt0081259,The Octagon,1980,"action , romance , drama ",4235,5.1
tt0081291,Out of the Blue,1980,drama ,1879,7.2
tt0081318,City of the Living Dead,1980,horror ,13232,6.3
tt0081323,"Pepi, Luci, Bom and Other Girls Like Mom",1980,comedy ,4038,6.3
tt0081363,Shortcuts,1981,comedy ,1822,7.9
tt0081398,Raging Bull,1980,"sport , drama , biography ",273019,8.2
tt0081415,Night of the Werewolf,1981,horror ,582,6.1
tt0081439,Rough Cut,1980,"comedy , crime , adventure ",839,5.6
tt0081470,The Sea Wolves,1980,"action , history , war ",3355,6.3
tt0081494,Return to the 36th Chamber,1980,"action , comedy ",2488,7.1
tt0081499,The Young Master,1980,"action , comedy , adventure ",5479,7.3
tt0081505,The Shining,1980,"horror , drama ",727332,8.4
tt0081529,Smokey and the Bandit II,1980,"action , comedy ",12640,5.2
tt0081541,The Under-Gifted,1980,comedy ,2672,6.5
tt0081568,The Stunt Man,1980,"action , comedy , drama ",7651,7.2
tt0081573,Superman II,1980,"action , sci-fi , adventure ",86558,6.8
tt0081590,Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980,comedy ,6021,7.3
tt0081620,Theo Against the Rest of the World,1980,"comedy , crime , romance ",531,6.8
tt0081662,Zigeunerweisen,1980,"mystery , horror ",730,7.2
tt0081675,Super Monster,1980,sci-fi ,511,4.2
tt0081677,The Last Shark,1981,horror ,1761,4.4
tt0081678,A Bad Son,1980,drama ,692,7.3
tt0081730,"Run, Waiter, Run!",1981,comedy ,1370,8.1
tt0081747,When Time Ran Out...,1980,"action , drama , adventure ",2174,4.4
tt0081796,Borrowing Matchsticks,1980,comedy ,733,7.0
tt0081809,ffolkes,1980,"action , thriller , adventure ",3823,6.4
tt0081964,...All the Marbles,1981,"comedy , sport , drama ",1610,6.3
tt0081991,Rasputin,1981,"history , drama , biography ",1029,7.1
tt0082000,Contamination,1980,"horror , sci-fi ",2960,5.3
tt0082010,An American Werewolf in London,1981,"comedy , horror ",77142,7.6
tt0082034,Ace,1981,comedy ,1334,6.5
tt0082042,Back Roads,1981,"comedy , romance , adventure ",657,5.6
tt0082053,A Good Marriage,1982,"comedy , romance , drama ",1893,7.2
tt0082054,Beau Pere,1981,"comedy , drama ",2185,7.1
tt0082096,Das Boot,1981,"thriller , drama , adventure ",197404,8.4
tt0082100,The Party,1980,"comedy , romance , drama ",6771,6.7
tt0082111,Buddy Buddy,1981,comedy ,3789,6.6
tt0082136,The Cannonball Run,1981,"action , sport , comedy ",28811,6.2
tt0082138,Carbon Copy,1981,"comedy , drama ",2149,5.6
tt0082176,Christiane F.,1981,"drama , biography ",18375,7.6
tt0082183,La Chevre,1981,"comedy , crime , adventure ",6598,7.4
tt0082198,Conan the Barbarian,1982,"fantasy , adventure ",123624,6.9
tt0082206,Coup de Torchon,1981,"comedy , crime , drama ",4205,7.7
tt0082210,El crack,1981,"mystery , crime , drama ",748,7.3
tt0082222,Man of Iron,1981,"history , drama ",2548,7.5
tt0082241,"Why Are the Bells Ringing, Mitica?",1982,"comedy , drama ",652,8.0
tt0082243,Strange Behavior,1981,"mystery , horror , sci-fi ",1211,5.7
tt0082247,Death Hunt,1981,"action , crime , adventure ",5836,7.0
tt0082250,Death Wish II,1982,"action , crime , drama ",12158,6.0
tt0082272,The Strange Case of Dr. Jekyll and Miss Osbourne,1981,horror ,678,6.3
tt0082280,Muddy River,1981,drama ,572,8.0
tt0082307,The Beyond,1981,horror ,17036,6.9
tt0082309,Eaux profondes,1981,"crime , drama ",550,6.9
tt0082314,Ek Duuje Ke Liye,1981,"romance , drama , musical ",882,7.5
tt0082317,They Don't Wear Black Tie,1981,drama ,795,8.1
tt0082338,Turkey Shoot,1982,"sci-fi , horror , drama ",2420,5.9
tt0082340,Escape from New York,1981,"action , sci-fi ",105790,7.2
tt0082351,Eye of the Needle,1981,"romance , thriller , war ",8073,7.1
tt0082361,The Fan,1982,"horror , drama , music ",790,6.6
tt0082367,Fear No Evil,1981,horror ,975,4.1
tt0082398,For Your Eyes Only,1981,"action , thriller , adventure ",80086,6.8
